task,episode,bank,site,spearman_difference,elite_overlap_difference,winner_agreement_difference
reach,4,original,B3,0.0072649696107734973,0,0
reach,4,original,B4,0.0026804742274914028,0,0
reach,4,original,B5,-0.00025244724941386743,0,0
reach,4,fresh,all_blocks,0.088868987433193714,3,1
reach,4,fresh,B0,0.020639340437116016,0,0
reach,4,fresh,B1,0.10945188279869777,3,0
reach,4,fresh,B2,0.017565972955255083,1,0
reach,4,fresh,B3,0.0062169579661995877,0,0
reach,4,fresh,B4,0.0022266914076822797,0,0
reach,4,fresh,B5,-0.00012449347316401127,0,0
reach,5,original,all_blocks,0.10011800131112569,4,1
reach,5,original,B0,0.011873020811342339,1,0
reach,5,original,B1,0.10596384404271153,1,1
reach,5,original,B2,0.01743041589350991,0,0
reach,5,original,B3,0.0074560828453649197,0,0
reach,5,original,B4,0.0020426893632151666,0,0
reach,5,original,B5,-0.0002062245136056351,0,0
reach,5,fresh,all_blocks,0.10765675174168599,3,1
reach,5,fresh,B0,0.023083367592973247,1,0
reach,5,fresh,B1,0.12856053956155067,0,1
reach,5,fresh,B2,0.021704685607617846,1,0
reach,5,fresh,B3,0.0069477725336539731,0,0
reach,5,fresh,B4,0.0015804620051333984,0,0
reach,5,fresh,B5,-0.00015511283458702341,0,0
reach,6,original,all_blocks,0.08836453738374872,3,1
reach,6,original,B0,0.023591817686863248,0,0
reach,6,original,B1,0.10255891732130362,0,0
reach,6,original,B2,0.017144190491005462,0,0
reach,6,original,B3,0.0087369859665107352,0,0
reach,6,original,B4,0.0020022444693830188,0,0
reach,6,original,B5,-0.00011111234569272099,0,0
reach,6,fresh,all_blocks,0.081197346637184808,3,1
reach,6,fresh,B0,0.026671851909465749,1,0
reach,6,fresh,B1,0.11105190057667302,3,1
reach,6,fresh,B2,0.018902876698629889,0,0
reach,6,fresh,B3,0.0067987422082467219,0,0
reach,6,fresh,B4,0.00259780664229603,0,0
reach,6,fresh,B5,-0.00034222602473354957,0,0
reach,7,original,all_blocks,0.1747814975721953,3,0
reach,7,original,B0,0.032602140023778037,0,0
reach,7,original,B1,0.17123479149768328,4,-1
reach,7,original,B2,0.015652618362426263,0,0
reach,7,original,B3,0.012397915532394888,0,0
reach,7,original,B4,0.0025200280003111475,0,0
reach,7,original,B5,-3.2444804942244332e-05,0,0
reach,7,fresh,all_blocks,0.12010577895309948,2,0
reach,7,fresh,B0,0.031997688863209639,0,0
reach,7,fresh,B1,0.1245547172746363,1,0
reach,7,fresh,B2,0.015473060811786787,0,0
reach,7,fresh,B3,0.010618340203780052,0,0
reach,7,fresh,B4,0.0007924532494805181,0,0
reach,7,fresh,B5,-4.0889343214889351e-05,0,0
reach-wall,0,original,all_blocks,0.10655851731685906,4,0
reach-wall,0,original,B0,0.031960355115056793,0,0
reach-wall,0,original,B1,0.13347526083623151,3,0
reach-wall,0,original,B2,0.022289580995344394,0,0
reach-wall,0,original,B3,0.0083116479071989602,0,0
reach-wall,0,original,B4,0.0035018166868521217,0,0
reach-wall,0,original,B5,-0.00021555795064387429,0,0
reach-wall,0,fresh,all_blocks,0.084420049111656792,2,1
reach-wall,0,fresh,B0,0.024369159657329553,1,0
reach-wall,0,fresh,B1,0.097901976688629877,0,0
reach-wall,0,fresh,B2,0.015999288880987561,0,0
reach-wall,0,fresh,B3,0.0066565184057600923,0,0
reach-wall,0,fresh,B4,0.0013693485483171619,0,0
reach-wall,0,fresh,B5,-6.6667407415677005e-05,0,0
reach-wall,1,original,all_blocks,0.13273969710774569,7,1
reach-wall,1,original,B0,0.033828375870842975,1,0
reach-wall,1,original,B1,0.13297925532505916,5,0
reach-wall,1,original,B2,0.018536205957843999,0,0
reach-wall,1,original,B3,0.011026344737163685,0,0
reach-wall,1,original,B4,0.0010142334914833295,0,0
reach-wall,1,original,B5,1.6000177779695868e-05,0,0
reach-wall,1,fresh,all_blocks,0.10925111492917317,4,1
reach-wall,1,fresh,B0,0.041408015644618268,1,0
reach-wall,1,fresh,B1,0.13415660174001931,2,0
reach-wall,1,fresh,B2,0.021358903987822031,0,0
reach-wall,1,fresh,B3,0.0133721485794287,0,0
reach-wall,1,fresh,B4,0.0018884654273936263,0,0
reach-wall,1,fresh,B5,1.3333481483135401e-05,0,0
reach-wall,2,original,all_blocks,0.095262836253736105,4,0
reach-wall,2,original,B0,0.035010611229013611,1,0
reach-wall,2,original,B1,0.10911276791964353,2,0
reach-wall,2,original,B2,0.017244636051511719,0,0
reach-wall,2,original,B3,0.0086040956010622338,0,0
reach-wall,2,original,B4,0.0011289014322380941,0,0
reach-wall,2,original,B5,-0.00027689196546631933,0,0
reach-wall,2,fresh,all_blocks,0.14282380915343507,5,0
reach-wall,2,fresh,B0,0.043236924854720638,0,0
reach-wall,2,fresh,B1,0.15868487427638089,4,0
reach-wall,2,fresh,B2,0.021526905854509559,0,0
reach-wall,2,fresh,B3,0.011986355403948989,0,0
reach-wall,2,fresh,B4,0.0024404715607950767,0,0
reach-wall,2,fresh,B5,-0.00010666785186508321,0,0
reach-wall,3,original,all_blocks,0.13887532083689824,4,1
reach-wall,3,original,B0,0.037709752330581492,0,0
reach-wall,3,original,B1,0.1470900787786531,2,0
reach-wall,3,original,B2,0.023752263914043503,0,0
reach-wall,3,original,B3,0.010521005788953208,0,0
reach-wall,3,original,B4,0.0018564650718342346,0,0
reach-wall,3,original,B5,7.3334148157133683e-05,0,0
reach-wall,3,fresh,all_blocks,0.13108990099889994,4,0
reach-wall,3,fresh,B0,0.041446238291536597,0,0
reach-wall,3,fresh,B1,0.15198568872987472,3,1
reach-wall,3,fresh,B2,0.029982110912343374,0,0
reach-wall,3,fresh,B3,0.013430815897954473,0,0
reach-wall,3,fresh,B4,0.0017214394974204295,0,0
reach-wall,3,fresh,B5,-6.4889609884488664e-05,0,0
reach-wall,4,original,all_blocks,0.085209391215457897,2,1
reach-wall,4,original,B0,0.019963777375304192,0,0
reach-wall,4,original,B1,0.10821320236891518,3,0
reach-wall,4,original,B2,0.016767297414415627,0,0
reach-wall,4,original,B3,0.006607184524272558,0,0
reach-wall,4,original,B4,0.0018577984199824593,0,0
reach-wall,4,original,B5,-0.00014133490372114643,0,0
reach-wall,4,fresh,all_blocks,0.12330492561028461,1,0
reach-wall,4,fresh,B0,0.019906887854309496,1,0
reach-wall,4,fresh,B1,0.15259147323859157,0,0
reach-wall,4,fresh,B2,0.02311759019544668,1,0
reach-wall,4,fresh,B3,0.0072787475416393743,1,0
reach-wall,4,fresh,B4,0.0030213669040767277,0,0
reach-wall,4,fresh,B5,7.9556439515959809e-05,0,0
reach-wall,5,original,all_blocks,0.08331337014855722,6,1
reach-wall,5,original,B0,0.023775819731330361,1,0
reach-wall,5,original,B1,0.10321936910410123,4,1
reach-wall,5,original,B2,0.019291769908554524,0,0
reach-wall,5,original,B3,0.0081752019466883041,0,0
reach-wall,5,original,B4,0.0015062389582106706,0,0
reach-wall,5,original,B5,4.4444938285259639e-07,0,0
reach-wall,5,fresh,all_blocks,0.099485549839442688,3,1
reach-wall,5,fresh,B0,0.027844309381215404,1,0
reach-wall,5,fresh,B1,0.11372748586095405,2,1
reach-wall,5,fresh,B2,0.019134879276436423,1,0
reach-wall,5,fresh,B3,0.0087747641640462115,0,0
reach-wall,5,fresh,B4,0.0016066845187169276,0,0
reach-wall,5,fresh,B5,-0.0002728919210213121,0,0
reach-wall,6,original,all_blocks,0.1034509272325248,2,1
reach-wall,6,original,B0,0.029974999722219176,0,0
reach-wall,6,original,B1,0.13423171368570763,3,0
reach-wall,6,original,B2,0.025323836931521515,0,0
reach-wall,6,original,B3,0.010442338248202732,1,0
reach-wall,6,original,B4,0.0028458093978821486,0,0
reach-wall,6,original,B5,-6.4000711119005516e-05,0,0
reach-wall,6,fresh,all_blocks,0.092864142934921512,2,1
reach-wall,6,fresh,B0,0.027737197079967579,0,0
reach-wall,6,fresh,B1,0.12822586917632417,1,0
reach-wall,6,fresh,B2,0.023030033667040706,0,0
reach-wall,6,fresh,B3,0.008716096845520438,0,0
reach-wall,6,fresh,B4,0.0018960210669006772,0,0
reach-wall,6,fresh,B5,-7.688974321928832e-05,0,0
reach-wall,7,original,all_blocks,0.1026935854842832,5,0
reach-wall,7,original,B0,0.03050656118401307,1,0
reach-wall,7,original,B1,0.13111923465816278,3,0
reach-wall,7,original,B2,0.019594884387604261,0,0
reach-wall,7,original,B3,0.0086698741097123166,0,0
reach-wall,7,original,B4,0.0021520239113768103,0,0
reach-wall,7,original,B5,-0.00025422504694494474,0,0
reach-wall,7,fresh,all_blocks,0.091210346781630869,4,0
reach-wall,7,fresh,B0,0.025012277914199132,0,0
reach-wall,7,fresh,B1,0.107321192457694,2,0
reach-wall,7,fresh,B2,0.013709930110334501,-1,0
reach-wall,7,fresh,B3,0.0070298558872876615,0,0
reach-wall,7,fresh,B4,0.0015844620495782946,0,0
reach-wall,7,fresh,B5,-0.00016489072100800417,0,0
