ledger_id,family,task,unit,n,mean,sd,ci95,sign_floor_p,mde80,gate,n_needed_for_gate,verdict,positive_units,negative_units,zero_units,source,note
stability.reach-wall/predictor/block-2/spatial-mean/step_progress,cross-trajectory subspace stability (episode bootstrap),reach-wall,projection fraction - random,30,0.7611384907930904,0.05490539478776895,"[0.7404884168253522, 0.7817885647608286]",1.862645149230957e-09,0.029230881402875972,,,bootstrap_draws_not_independent_units,30,0,0,map-v10 cross_trajectory_stability.draws,"Bootstrap draws resample the same 150 discovery episodes; CI is descriptive, draws are not independent replications."
stability.reach-wall/predictor/block-2/spatial-mean/wall_signed_distance,cross-trajectory subspace stability (episode bootstrap),reach-wall,projection fraction - random,30,0.9298268880034536,0.013724999330187955,"[0.9246648770121644, 0.9349888989947428]",1.862645149230957e-09,0.007307001966310395,,,bootstrap_draws_not_independent_units,30,0,0,map-v10 cross_trajectory_stability.draws,"Bootstrap draws resample the same 150 discovery episodes; CI is descriptive, draws are not independent replications."
stability.reach-wall/predictor/block-3/spatial-mean/realized_xz_direction,cross-trajectory subspace stability (episode bootstrap),reach-wall,projection fraction - random,30,0.7841374510317891,0.023196548746560183,"[0.7754131635685211, 0.7928617384950571]",1.862645149230957e-09,0.01234952536062594,,,bootstrap_draws_not_independent_units,30,0,0,map-v10 cross_trajectory_stability.draws,"Bootstrap draws resample the same 150 discovery episodes; CI is descriptive, draws are not independent replications."
stability.reach-wall/predictor/block-3/spatial-mean/step_progress,cross-trajectory subspace stability (episode bootstrap),reach-wall,projection fraction - random,30,0.7939217435038101,0.03450183023736906,"[0.7809455077590718, 0.8068979792485483]",1.862645149230957e-09,0.01836830263672667,,,bootstrap_draws_not_independent_units,30,0,0,map-v10 cross_trajectory_stability.draws,"Bootstrap draws resample the same 150 discovery episodes; CI is descriptive, draws are not independent replications."
stability.reach-wall/predictor/block-3/spatial-mean/wall_signed_distance,cross-trajectory subspace stability (episode bootstrap),reach-wall,projection fraction - random,30,0.9245282704218579,0.014912766492011878,"[0.9189195368481535, 0.9301370039955623]",1.862645149230957e-09,0.007939352961612592,,,bootstrap_draws_not_independent_units,30,0,0,map-v10 cross_trajectory_stability.draws,"Bootstrap draws resample the same 150 discovery episodes; CI is descriptive, draws are not independent replications."
stability.reach-wall/predictor/block-5/spatial-mean/realized_xz_direction,cross-trajectory subspace stability (episode bootstrap),reach-wall,projection fraction - random,30,0.8458402630261438,0.019672757977807948,"[0.8384412832180314, 0.8532392428342562]",1.862645149230957e-09,0.010473507340027145,,,bootstrap_draws_not_independent_units,30,0,0,map-v10 cross_trajectory_stability.draws,"Bootstrap draws resample the same 150 discovery episodes; CI is descriptive, draws are not independent replications."
stability.reach-wall/predictor/block-5/spatial-mean/step_progress,cross-trajectory subspace stability (episode bootstrap),reach-wall,projection fraction - random,30,0.8011931822284412,0.04812845445780718,"[0.7830919346488857, 0.8192944298079966]",1.862645149230957e-09,0.025622931039797833,,,bootstrap_draws_not_independent_units,30,0,0,map-v10 cross_trajectory_stability.draws,"Bootstrap draws resample the same 150 discovery episodes; CI is descriptive, draws are not independent replications."
stability.reach-wall/predictor/block-5/spatial-mean/wall_signed_distance,cross-trajectory subspace stability (episode bootstrap),reach-wall,projection fraction - random,30,0.8989378946907174,0.025708395524834695,"[0.8892688945636485, 0.9086068948177862]",1.862645149230957e-09,0.013686798238122756,,,bootstrap_draws_not_independent_units,30,0,0,map-v10 cross_trajectory_stability.draws,"Bootstrap draws resample the same 150 discovery episodes; CI is descriptive, draws are not independent replications."
causal.broad_patch_48,"whole-block action patching, beta=0.5 (48 snapshots)",reach-wall,transfer fraction,48,,,,,,,,adequate_for_screen,,,,reach_wall_v1/action-patching/summary.json,
causal.replication.reach-wall/predictor/block-3/spatial-mean/realized_xz_direction.endpoint_effect_l2_m,"targeted subspace edit, 5 full-episode starts",reach-wall,m,5,0.0004487224958566249,0.01194426846403347,"[-0.014379668049421432, 0.015277113041134683]",0.0625,0.01985487307521561,0.005,48,underpowered,2,3,0,map-v10 causal_patch_effect.effects,5 independent starts; gate = 5 mm progress. Descriptive bootstrap CI in v10 includes 0.
causal.replication.reach-wall/predictor/block-3/spatial-mean/realized_xz_direction.goal_improvement_vs_unsteered_m,"targeted subspace edit, 5 full-episode starts",reach-wall,m,5,-0.0011077610563689166,0.008284261826867017,"[-0.011392381677382662, 0.009176859564644828]",0.0625,0.013770869902128273,0.005,24,underpowered,2,3,0,map-v10 causal_patch_effect.effects,5 independent starts; gate = 5 mm progress. Descriptive bootstrap CI in v10 includes 0.
causal.replication.reach-wall/predictor/block-3/spatial-mean/realized_xz_direction.off_target_xy_effect_l2_m,"targeted subspace edit, 5 full-episode starts",reach-wall,m,5,0.0012326701735342349,0.009551606907194539,"[-0.010625314932991682, 0.013090655280060154]",0.0625,0.015877568674696266,0.005,31,underpowered,3,2,0,map-v10 causal_patch_effect.effects,5 independent starts; gate = 5 mm progress. Descriptive bootstrap CI in v10 includes 0.
causal.replication.reach-wall/predictor/block-3/spatial-mean/realized_xz_direction.signed_target_z_effect_m,"targeted subspace edit, 5 full-episode starts",reach-wall,m,5,0.00930873304605484,0.026275764759179407,"[-0.023311707703264413, 0.04192917379537409]",0.0625,0.043678018107067604,0.005,221,underpowered,3,2,0,map-v10 causal_patch_effect.effects,5 independent starts; gate = 5 mm progress. Descriptive bootstrap CI in v10 includes 0.
specificity.reach-wall/predictor/block-3/spatial-mean/realized_xz_direction,specificity controls,reach-wall,,1,,,,,,,,degenerate_n1,,,,map-v10 specificity,One start; location/time controls executed but behavioural specificity not established.
manifold.reach-wall/predictor/block-3/spatial-mean/realized_xz_direction,manifold support distance,reach-wall,Mahalanobis proxy,1,,,,,,,,degenerate_n1,,,,map-v10 manifold_distance,One start; support proxy only.
decision.action_responsive_subspace_v1.targeted_minus.predicted,Predictor: action-responsive rank4,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,action_responsive_subspace_v1,4 reused development states x 64 dependent plans; matched control mean = 0.0
decision.action_responsive_subspace_v1.targeted_plus.predicted,Predictor: action-responsive rank4,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,action_responsive_subspace_v1,4 reused development states x 64 dependent plans; matched control mean = 0.0
decision.normalization_aware_subspace_v1.raw_semantic_minus.predicted,Predictor: normalization-aware P5,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,normalization_aware_subspace_v1,4 reused development states x 64 dependent plans; matched control mean = 0.0
decision.normalization_aware_subspace_v1.calibrated_semantic_minus.predicted,Predictor: normalization-aware P5,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,normalization_aware_subspace_v1,4 reused development states x 64 dependent plans; matched control mean = 0.0
decision.normalization_aware_subspace_v1.raw_semantic_plus.predicted,Predictor: normalization-aware P5,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,normalization_aware_subspace_v1,4 reused development states x 64 dependent plans; matched control mean = 0.0
decision.normalization_aware_subspace_v1.calibrated_semantic_plus.predicted,Predictor: normalization-aware P5,push-t,pp coverage gain vs native,4,0.46003854075297584,0.9200770815059517,"[-1.0038040959229932, 1.923881177428945]",0.125,1.9137603295323795,2.0,4,underpowered,1,0,3,normalization_aware_subspace_v1,4 reused development states x 64 dependent plans; matched control mean = 0.0
decision.task_metric_complement_ablation_v1.pointwise/joint_xy_squared_proxy/learned/span_only.predicted,Scoring: fixed complement ablation,push-t,pp coverage gain vs native,4,1.1599702315782292,1.395530190788123,"[-1.0603183019656746, 3.380258765122133]",0.125,2.902702796839296,2.0,6,underpowered,2,0,2,task_metric_complement_ablation_v1,4 reused development states x 64 dependent plans; matched control mean = 1.1599702315782292
decision.task_metric_complement_ablation_v1.pointwise/joint_xy_squared_proxy/learned/with_complement.predicted,Scoring: fixed complement ablation,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,task_metric_complement_ablation_v1,4 reused development states x 64 dependent plans; matched control mean = 0.0
decision.task_metric_complement_ablation_v1.pointwise/one_minus_requested_goal_coverage/learned/span_only.predicted,Scoring: fixed complement ablation,push-t,pp coverage gain vs native,4,0.717744668769043,1.3883944139292759,"[-1.491190843792435, 2.926680181330521]",0.125,2.887860380972894,2.0,6,underpowered,2,0,2,task_metric_complement_ablation_v1,4 reused development states x 64 dependent plans; matched control mean = 0.717744668769043
decision.task_metric_complement_ablation_v1.pointwise/one_minus_requested_goal_coverage/learned/with_complement.predicted,Scoring: fixed complement ablation,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,task_metric_complement_ablation_v1,4 reused development states x 64 dependent plans; matched control mean = 0.0
decision.task_metric_complement_ablation_v1.pairwise/joint_xy_squared_proxy/learned/span_only.predicted,Scoring: fixed complement ablation,push-t,pp coverage gain vs native,4,0.717744668769043,1.3883944139292759,"[-1.491190843792435, 2.926680181330521]",0.125,2.887860380972894,2.0,6,underpowered,2,0,2,task_metric_complement_ablation_v1,4 reused development states x 64 dependent plans; matched control mean = 0.717744668769043
decision.task_metric_complement_ablation_v1.pairwise/joint_xy_squared_proxy/learned/with_complement.predicted,Scoring: fixed complement ablation,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,task_metric_complement_ablation_v1,4 reused development states x 64 dependent plans; matched control mean = 0.0
decision.task_metric_complement_ablation_v1.pairwise/one_minus_requested_goal_coverage/learned/span_only.predicted,Scoring: fixed complement ablation,push-t,pp coverage gain vs native,4,0.717744668769043,1.3883944139292759,"[-1.491190843792435, 2.926680181330521]",0.125,2.887860380972894,2.0,6,underpowered,2,0,2,task_metric_complement_ablation_v1,4 reused development states x 64 dependent plans; matched control mean = 0.717744668769043
decision.task_metric_complement_ablation_v1.pairwise/one_minus_requested_goal_coverage/learned/with_complement.predicted,Scoring: fixed complement ablation,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,task_metric_complement_ablation_v1,4 reused development states x 64 dependent plans; matched control mean = 0.0
decision.task_metric_complement_ablation_v1.pointwise/joint_xy_squared_proxy/learned/span_only.actual_oracle_encoding,Scoring: fixed complement ablation,push-t,pp coverage gain vs native,4,3.4623978978442342,6.9247957956884685,"[-7.554952213096119, 14.479748008784586]",0.125,14.403575255032015,2.0,98,underpowered,1,0,3,task_metric_complement_ablation_v1,4 reused development states x 64 dependent plans; matched control mean = 3.4623978978442342
decision.task_metric_complement_ablation_v1.pointwise/joint_xy_squared_proxy/learned/with_complement.actual_oracle_encoding,Scoring: fixed complement ablation,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,task_metric_complement_ablation_v1,4 reused development states x 64 dependent plans; matched control mean = 0.5903791536173215
decision.task_metric_complement_ablation_v1.pointwise/one_minus_requested_goal_coverage/learned/span_only.actual_oracle_encoding,Scoring: fixed complement ablation,push-t,pp coverage gain vs native,4,3.5868837342393114,6.845830729515697,"[-7.304832956420162, 14.478600424898785]",0.125,14.23932791739265,2.0,96,underpowered,2,0,2,task_metric_complement_ablation_v1,4 reused development states x 64 dependent plans; matched control mean = 3.4623978978442342
decision.task_metric_complement_ablation_v1.pointwise/one_minus_requested_goal_coverage/learned/with_complement.actual_oracle_encoding,Scoring: fixed complement ablation,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,task_metric_complement_ablation_v1,4 reused development states x 64 dependent plans; matched control mean = 0.0
decision.task_metric_complement_ablation_v1.pairwise/joint_xy_squared_proxy/learned/span_only.actual_oracle_encoding,Scoring: fixed complement ablation,push-t,pp coverage gain vs native,4,3.4623978978442342,6.9247957956884685,"[-7.554952213096119, 14.479748008784586]",0.125,14.403575255032015,2.0,98,underpowered,1,0,3,task_metric_complement_ablation_v1,4 reused development states x 64 dependent plans; matched control mean = 3.618900463345294
decision.task_metric_complement_ablation_v1.pairwise/joint_xy_squared_proxy/learned/with_complement.actual_oracle_encoding,Scoring: fixed complement ablation,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,task_metric_complement_ablation_v1,4 reused development states x 64 dependent plans; matched control mean = 0.0
decision.task_metric_complement_ablation_v1.pairwise/one_minus_requested_goal_coverage/learned/span_only.actual_oracle_encoding,Scoring: fixed complement ablation,push-t,pp coverage gain vs native,4,3.618900463345294,6.826841969795166,"[-7.242605110598815, 14.480406037289404]",0.125,14.199831297173946,2.0,95,underpowered,2,0,2,task_metric_complement_ablation_v1,4 reused development states x 64 dependent plans; matched control mean = 3.5868837342393114
decision.task_metric_complement_ablation_v1.pairwise/one_minus_requested_goal_coverage/learned/with_complement.actual_oracle_encoding,Scoring: fixed complement ablation,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,task_metric_complement_ablation_v1,4 reused development states x 64 dependent plans; matched control mean = 0.0
autoresearch.push.forecast_correction.linear.semantic.0.005,autoresearch push forecast_correction,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,push/results-49987398/summary.json,passes=False; forecast_mse_ratio=0.9881699597037303
autoresearch.push.forecast_correction.linear.semantic.0.02,autoresearch push forecast_correction,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,push/results-49987398/summary.json,passes=False; forecast_mse_ratio=0.9627093453606984
autoresearch.push.forecast_correction.linear.semantic.0.1,autoresearch push forecast_correction,push-t,pp coverage gain vs native,4,1.1599702315782292,1.395530190788123,"[-1.0603183019656746, 3.380258765122133]",0.125,2.902702796839296,2.0,6,underpowered,2,0,2,push/results-49987398/summary.json,passes=False; forecast_mse_ratio=1.07684128580724
autoresearch.push.forecast_error_penalty.linear.risk.0.1,autoresearch push forecast_error_penalty,push-t,pp coverage gain vs native,4,0.5343753280787018,2.3652919699964423,"[-3.2288041961856377, 4.297554852343041]",0.125,4.9198072975926,2.0,14,underpowered,2,1,1,push/results-49987398/summary.json,passes=False; forecast_mse_ratio=1.0
autoresearch.push.forecast_error_penalty.linear.risk.0.3,autoresearch push forecast_error_penalty,push-t,pp coverage gain vs native,4,0.5343753280787018,2.3652919699964423,"[-3.2288041961856377, 4.297554852343041]",0.125,4.9198072975926,2.0,14,underpowered,2,1,1,push/results-49987398/summary.json,passes=False; forecast_mse_ratio=1.0
autoresearch.push.forecast_error_penalty.linear.risk.1.0,autoresearch push forecast_error_penalty,push-t,pp coverage gain vs native,4,-2.07623672322548,3.0562356617366087,"[-6.938707661048425, 2.7862342145974646]",0.125,6.356970176412146,2.0,21,underpowered,2,2,0,push/results-49987398/summary.json,passes=False; forecast_mse_ratio=1.0
autoresearch.push.forecast_correction.rbf.semantic.0.005,autoresearch push forecast_correction,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,push/results-49987413/summary.json,passes=False; forecast_mse_ratio=0.985230139687345
autoresearch.push.forecast_correction.rbf.semantic.0.02,autoresearch push forecast_correction,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,push/results-49987413/summary.json,passes=False; forecast_mse_ratio=0.9509500652951365
autoresearch.push.forecast_correction.rbf.semantic.0.1,autoresearch push forecast_correction,push-t,pp coverage gain vs native,4,1.1599702315782292,1.395530190788123,"[-1.0603183019656746, 3.380258765122133]",0.125,2.902702796839296,2.0,6,underpowered,2,0,2,push/results-49987413/summary.json,passes=False; forecast_mse_ratio=0.942900221096406
autoresearch.push.forecast_error_penalty.rbf.risk.0.1,autoresearch push forecast_error_penalty,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,push/results-49987413/summary.json,passes=False; forecast_mse_ratio=1.0
autoresearch.push.forecast_error_penalty.rbf.risk.0.3,autoresearch push forecast_error_penalty,push-t,pp coverage gain vs native,4,0.14576209311907284,0.2915241862381457,"[-0.3180528871858169, 0.6095770734239626]",0.125,0.606370307375343,2.0,3,underpowered,1,0,3,push/results-49987413/summary.json,passes=False; forecast_mse_ratio=1.0
autoresearch.push.forecast_error_penalty.rbf.risk.1.0,autoresearch push forecast_error_penalty,push-t,pp coverage gain vs native,4,-0.3534038928273967,3.8583725508106945,"[-6.492074621167212, 5.7852668355124175]",0.125,8.025414905686246,2.0,32,underpowered,2,1,1,push/results-49987413/summary.json,passes=False; forecast_mse_ratio=1.0
autoresearch.push.forecast_correction.knn.semantic.0.005,autoresearch push forecast_correction,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,push/results-49987414/summary.json,passes=False; forecast_mse_ratio=0.9874545163942451
autoresearch.push.forecast_correction.knn.semantic.0.02,autoresearch push forecast_correction,push-t,pp coverage gain vs native,4,0.46003854075297584,0.9200770815059517,"[-1.0038040959229932, 1.923881177428945]",0.125,1.9137603295323795,2.0,4,underpowered,1,0,3,push/results-49987414/summary.json,passes=False; forecast_mse_ratio=0.9598475721230625
autoresearch.push.forecast_correction.knn.semantic.0.1,autoresearch push forecast_correction,push-t,pp coverage gain vs native,4,0.46003854075297584,0.9200770815059517,"[-1.0038040959229932, 1.923881177428945]",0.125,1.9137603295323795,2.0,4,underpowered,1,0,3,push/results-49987414/summary.json,passes=False; forecast_mse_ratio=0.9699113068519657
autoresearch.push.forecast_error_penalty.knn.risk.0.1,autoresearch push forecast_error_penalty,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,push/results-49987414/summary.json,passes=False; forecast_mse_ratio=1.0
autoresearch.push.forecast_error_penalty.knn.risk.0.3,autoresearch push forecast_error_penalty,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,push/results-49987414/summary.json,passes=False; forecast_mse_ratio=1.0
autoresearch.push.forecast_error_penalty.knn.risk.1.0,autoresearch push forecast_error_penalty,push-t,pp coverage gain vs native,4,0.9072906849238483,1.8145813698476967,"[-1.979708274503837, 3.794289644351534]",0.125,3.7743292492832095,2.0,9,underpowered,1,0,3,push/results-49987414/summary.json,passes=False; forecast_mse_ratio=1.0
autoresearch.push.within_state_contrast.rbf.semantic.0.005,autoresearch push within_state_contrast,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,push/contrast-49987413/summary.json,passes=False; forecast_mse_ratio=0.9982919571087855
autoresearch.push.within_state_contrast.rbf.semantic.0.02,autoresearch push within_state_contrast,push-t,pp coverage gain vs native,4,0.6999316908252534,1.3998633816505068,"[-1.527250949380703, 2.9271143310312095]",0.125,2.911715833833054,2.0,6,underpowered,1,0,3,push/contrast-49987413/summary.json,passes=False; forecast_mse_ratio=1.0006078510632177
autoresearch.push.within_state_contrast.rbf.semantic.0.1,autoresearch push within_state_contrast,push-t,pp coverage gain vs native,4,0.6999316908252534,1.3998633816505068,"[-1.527250949380703, 2.9271143310312095]",0.125,2.911715833833054,2.0,6,underpowered,1,0,3,push/contrast-49987413/summary.json,passes=False; forecast_mse_ratio=1.0022267492190384
autoresearch.push.within_state_contrast.knn.semantic.0.005,autoresearch push within_state_contrast,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,push/contrast-49987414/summary.json,passes=False; forecast_mse_ratio=0.9996915676725476
autoresearch.push.within_state_contrast.knn.semantic.0.02,autoresearch push within_state_contrast,push-t,pp coverage gain vs native,4,0.6999316908252534,1.3998633816505068,"[-1.527250949380703, 2.9271143310312095]",0.125,2.911715833833054,2.0,6,underpowered,1,0,3,push/contrast-49987414/summary.json,passes=False; forecast_mse_ratio=1.0029575080421984
autoresearch.push.within_state_contrast.knn.semantic.0.1,autoresearch push within_state_contrast,push-t,pp coverage gain vs native,4,0.6999316908252534,1.3998633816505068,"[-1.527250949380703, 2.9271143310312095]",0.125,2.911715833833054,2.0,6,underpowered,1,0,3,push/contrast-49987414/summary.json,passes=False; forecast_mse_ratio=1.0030762610819683
autoresearch.push.within_state_contrast.linear.semantic.0.005,autoresearch push within_state_contrast,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,push/contrast-linear-49987413/summary.json,passes=False; forecast_mse_ratio=0.9978576106110624
autoresearch.push.within_state_contrast.linear.semantic.0.02,autoresearch push within_state_contrast,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,push/contrast-linear-49987413/summary.json,passes=False; forecast_mse_ratio=1.0012917433560524
autoresearch.push.within_state_contrast.linear.semantic.0.1,autoresearch push within_state_contrast,push-t,pp coverage gain vs native,4,0.0,0.0,"[0.0, 0.0]",0.125,,2.0,,zero_variance_no_decision_change,0,0,4,push/contrast-linear-49987413/summary.json,passes=False; forecast_mse_ratio=1.0561669180247877
autoresearch.reach.pooled.vs_native_planner,"Reach output-correction pilot (pooled), 15 raw steps",reach-wall,mm progress,8,-0.6306711584329605,1.4247882224334631,"[-1.8220132002957201, 0.5606708834297991]",0.0078125,1.6426919232619277,5.0,3,adequate_for_screen,0,3,5,autoresearch_steering_20260906/reach/pilot-v1-summary.json,"8 new development starts 66-73; gate = 5 mm mean over native, bank and sham plus 5/8 positive."
autoresearch.reach.pooled.vs_sham,"Reach output-correction pilot (pooled), 15 raw steps",reach-wall,mm progress,8,0.0,0.0,"[0.0, 0.0]",0.0078125,,5.0,,zero_variance_no_decision_change,0,0,8,autoresearch_steering_20260906/reach/pilot-v1-summary.json,"8 new development starts 66-73; gate = 5 mm mean over native, bank and sham plus 5/8 positive."
autoresearch.reach.full_spatial.vs_native_planner,"Reach output-correction pilot (full_spatial), 15 raw steps",reach-wall,mm progress,8,-0.7337182760238647,1.392627539443181,"[-1.8981690415986265, 0.43073248955089705]",0.0078125,1.605612662384481,5.0,3,adequate_for_screen,0,5,3,autoresearch_steering_20260906/reach/pilot-fullgrid-v1-summary.json,"8 new development starts 66-73; gate = 5 mm mean over native, bank and sham plus 5/8 positive."
autoresearch.reach.full_spatial.vs_sham,"Reach output-correction pilot (full_spatial), 15 raw steps",reach-wall,mm progress,8,0.24398230016231537,1.2228323398582814,"[-0.778493569363349, 1.2664581696879798]",0.0078125,1.40984939134173,5.0,3,adequate_for_screen,1,3,4,autoresearch_steering_20260906/reach/pilot-fullgrid-v1-summary.json,"8 new development starts 66-73; gate = 5 mm mean over native, bank and sham plus 5/8 positive."
